                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3881,                 1.1158,                 1.0983,                0.99729,                      1,                  0.995,                0.61172,                 1.3086,                0.67354,                 1.2484,             0.00066454,             0.00066454,             0.00066454
                      2,                 1.3628,                0.58295,                 1.1646,                0.99315,                      1,                  0.995,                0.62941,                 1.3051,                 0.5194,                 1.2527,              0.0012785,              0.0012785,              0.0012785
                      3,                  1.354,                  0.554,                 1.1668,                0.98683,                0.99934,                0.99461,                0.64946,                 1.2537,                0.51871,                 1.2343,              0.0018396,              0.0018396,              0.0018396
                      4,                 1.3494,                0.55094,                 1.1626,                0.98916,                0.99238,                0.99479,                0.64383,                 1.2648,                0.51784,                 1.2509,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.3272,                0.52665,                  1.147,                0.99943,                      1,                  0.995,                0.66119,                 1.2417,                0.47149,                 1.2196,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.3176,                0.51683,                  1.142,                      1,                0.99965,                  0.995,                0.66521,                 1.2464,                0.44835,                 1.2286,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.3087,                0.50232,                 1.1387,                0.99792,                      1,                  0.995,                0.67351,                 1.2252,                0.43154,                 1.2006,               0.001604,               0.001604,               0.001604
                      8,                 1.3065,                0.49378,                 1.1359,                 0.9998,                      1,                  0.995,                0.67076,                 1.2158,                0.44238,                 1.2093,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.2997,                0.48996,                 1.1346,                0.99968,                      1,                  0.995,                 0.6331,                 1.2937,                0.43034,                  1.255,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.2898,                0.48442,                 1.1268,                0.99776,                      1,                  0.995,                0.67405,                 1.2486,                0.40818,                  1.207,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.2839,                0.47612,                  1.122,                      1,                0.99985,                  0.995,                0.68013,                 1.2047,                0.41376,                 1.1894,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.2873,                0.47489,                 1.1211,                0.99983,                      1,                  0.995,                0.67792,                 1.2223,                0.43186,                 1.1857,               0.001208,               0.001208,               0.001208
                     13,                 1.2748,                0.46881,                 1.1205,                0.99984,                      1,                  0.995,                0.68003,                 1.2298,                0.39502,                 1.2038,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.2723,                0.46041,                 1.1209,                 0.9993,                      1,                  0.995,                0.67793,                 1.2264,                0.41052,                 1.1861,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.2633,                0.45537,                 1.1104,                0.99961,                      1,                  0.995,                0.68046,                 1.2194,                 0.3943,                 1.1867,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.2768,                0.43163,                 1.1987,                0.99817,                      1,                  0.995,                0.68699,                 1.1759,                0.39115,                 1.1723,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.2663,                0.42588,                 1.1939,                 0.9996,                      1,                  0.995,                  0.684,                 1.1959,                0.39222,                 1.1795,               0.000812,               0.000812,               0.000812
                     18,                 1.2594,                0.42356,                 1.1925,                0.99985,                      1,                  0.995,                0.68616,                 1.1785,                0.38125,                 1.1703,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.2566,                0.41462,                 1.1874,                0.99982,                      1,                  0.995,                0.69074,                 1.1922,                0.37656,                 1.1733,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.2486,                0.40716,                 1.1824,                0.99979,                      1,                  0.995,                0.69758,                 1.1721,                0.37376,                 1.1668,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.2428,                0.40568,                 1.1802,                0.99987,                      1,                  0.995,                0.69634,                 1.1667,                0.37357,                 1.1599,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.2389,                0.40014,                 1.1773,                0.99982,                      1,                  0.995,                0.69122,                 1.1892,                 0.3654,                 1.1744,               0.000416,               0.000416,               0.000416
                     23,                 1.2374,                0.39773,                 1.1765,                0.99978,                      1,                  0.995,                0.69909,                 1.1726,                0.36335,                 1.1646,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.2304,                0.38993,                 1.1682,                0.99985,                      1,                  0.995,                0.70054,                 1.1807,                0.36026,                 1.1645,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.2247,                0.38529,                  1.165,                0.99985,                      1,                  0.995,                0.69811,                 1.1763,                0.35761,                  1.161,              0.0001784,              0.0001784,              0.0001784
